,Apparel,Automotive,Beauty,Beverage,Business,Construction,Dining,Education,Financial,Food,Health and Medicine,Household,Shopping and Retail,Toiletries,Tourism and Travel,Transport and Logistics,Slogan,EncodedValues
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fueled by water,"[700000000, 371000000, 612000000]"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Speedo Born in the water,"[700000000, 371000000, 612000000]"
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beachwear competence,"[615000000, 372000000, 650000000]"
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arena Water instinct,"[567000000, 444000000, 626000000]"
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,What it takes to win,"[589500000, 506499999, 634500000]"
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauty in all its forms,"[564000000, 385000000, 647000000]"
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Always in front,"[0, 0, 0]"
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love the beach,"[721000000, 509999999, 570000000]"
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All girls are gorgeous in Jantzen,"[736000000, 507500000, 616000000]"
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dive into life,"[668000000, 559000000, 589000000]"
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep our beaches beautiful,"[741000000, 540499999, 593500000]"
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look 10 lbs lighter in 10 seconds,"[523000000, 348000000, 534999999]"
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live in water,"[700000000, 371000000, 612000000]"
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making women feel sexy since 1984,"[692666666, 488333333, 581000000]"
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Now go get wet,"[601666666, 451000000, 569666666]"
