,Slogan,SlogansToList,IndexEncoded
0,Fueled by water,"['Fueled', 'by', 'water']","[13916, 13916, 13585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,Speedo Born in the water,"['Speedo', 'Born', 'in', 'the', 'water']","[13916, 1375, 13916, 13916, 13585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,Beachwear competence,"['Beachwear', 'competence']","[13916, 2431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,Arena Water instinct,"['Arena', 'Water', 'instinct']","[573, 13585, 6464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,What it takes to win,"['What', 'it', 'takes', 'to', 'win']","[13916, 13916, 12275, 13916, 13733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,Beauty in all its forms,"['Beauty', 'in', 'all', 'its', 'forms']","[1011, 13916, 13916, 13916, 4868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,Always in front,"['Always', 'in', 'front']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,Love the beach,"['Love', 'the', 'beach']","[7246, 13916, 988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,All girls are gorgeous in Jantzen,"['All', 'girls', 'are', 'gorgeous', 'in', 'Jantzen']","[13916, 5195, 13916, 5294, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,Dive into life,"['Dive', 'into', 'life']","[3665, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,Keep our beaches beautiful,"['Keep', 'our', 'beaches', 'beautiful']","[6780, 13916, 988, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,Look 10 lbs lighter in 10 seconds,"['Look', '10', 'lbs', 'lighter', 'in', '10', 'seconds']","[7215, 13916, 13916, 13916, 13916, 13916, 10846, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,Live in water,"['Live', 'in', 'water']","[7159, 13916, 13585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,Making women feel sexy since 1984,"['Making', 'women', 'feel', 'sexy', 'since', '1984']","[13916, 13788, 4543, 10982, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Now go get wet,"['Now', 'go', 'get', 'wet']","[13916, 5249, 5167, 13653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,Share our passion for swimming,"['Share', 'our', 'passion', 'for', 'swimming']","[11009, 13916, 8760, 13916, 12194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Serious swimmers prefer Zoggs,"['Serious', 'swimmers', 'prefer', 'Zoggs']","[10950, 12193, 9366, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,If you doubt yourself wear something else,"['If', 'you', 'doubt', 'yourself', 'wear', 'something', 'else']","[13916, 13916, 3751, 13916, 13611, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Swimwear that sticks,"['Swimwear', 'that', 'sticks']","[13916, 13916, 11825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,All you need to reach the beach,"['All', 'you', 'need', 'to', 'reach', 'the', 'beach']","[13916, 13916, 8112, 13916, 9896, 13916, 988, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,Dive into colour,"['Dive', 'into', 'colour']","[3665, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,Virtual skin,"['Virtual', 'skin']","[13455, 11255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,Look good Swim fast,"['Look', 'good', 'Swim', 'fast']","[7215, 5280, 12192, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,Be beautiful Be you,"['Be', 'beautiful', 'Be', 'you']","[987, 1010, 987, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,Worldwide beach culture,"['Worldwide', 'beach', 'culture']","[13916, 988, 2996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,Custom fit Custom fabulous,"['Custom', 'fit', 'Custom', 'fabulous']","[3030, 4674, 3030, 4419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,The leader in sun protection,"['The', 'leader', 'in', 'sun', 'protection']","[13916, 6982, 13916, 12069, 9592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,Sun Safe Style,"['Sun', 'Safe', 'Style']","[12069, 10589, 11970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,Look better nearly naked,"['Look', 'better', 'nearly', 'naked']","[7215, 13916, 13916, 8060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,Always look your best even undressed,"['Always', 'look', 'your', 'best', 'even', 'undressed']","[13916, 7215, 13916, 13916, 13916, 13061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,Tweans Fashion that fits my style,"['Tweans', 'Fashion', 'that', 'fits', 'my', 'style']","[13916, 4490, 13916, 4674, 13916, 11970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,Ex Officio Clothes for a big planet,"['Ex', 'Officio', 'Clothes', 'for', 'a', 'big', 'planet']","[4269, 13916, 2233, 13916, 13916, 1109, 9112, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
