,Apparel,Automotive,Beauty,Beverage,Business,Construction,Dining,Education,Financial,Food,Health and Medicine,Household,Shopping and Retail,Toiletries,Tourism and Travel,Transport and Logistics,Slogan
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fueled by water
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Speedo Born in the water
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beachwear competence
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arena Water instinct
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,What it takes to win
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauty in all its forms
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Always in front
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love the beach
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All girls are gorgeous in Jantzen
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dive into life
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep our beaches beautiful
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look 10 lbs lighter in 10 seconds
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live in water
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making women feel sexy since 1984
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Now go get wet
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Share our passion for swimming
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serious swimmers prefer Zoggs
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If you doubt yourself wear something else
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swimwear that sticks
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All you need to reach the beach
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dive into colour
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual skin
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look good Swim fast
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Be beautiful Be you
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide beach culture
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Custom fit Custom fabulous
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The leader in sun protection
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Safe Style
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look better nearly naked
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Always look your best even undressed
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tweans Fashion that fits my style
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ex Officio Clothes for a big planet
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ExOfficio Expect more from your clothes
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The ultimate clothing to see the world in
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Form follows you
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falke Soul texture
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falke For tomorrow's people
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Global warming ready
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,What becomes a Legend most
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isn't it time you got an Oscar
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Lishman Timeless elegant sustainable
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A style for every story
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Have you ever had a bad time in Levi s
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quality never goes out of style
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Levis Original jeans Original people
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Our models can beat up their models
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nothing comes between me and my Calvins
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My bottoms are tops
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Luxury of Dirt
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel For Successful Living
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Behind The Scenes Since 1889
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lee The jeans that built America
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gas Keep it Simple
53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gas It's True
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fashion is nothing without people
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lawman Leaves everyone speechless
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mudd Better when it's on you
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Our name is Mudd
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meltin Pot Share life
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop wishing Start living
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meltin Pot Get real
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeans your skin
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wrangler There's a bit of the West in all of us
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIS Denim Made for Pleasure
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Cult Uncompromising
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G I V E Get Involved Volunteer Exceed
66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True Style never dies
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mustang Jeans never die They just fade away
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It's hard to be nice if you don't feel comfortable
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The official uniform of New York
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shoes designed to move you
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecco Shoes for life
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clarks Shoes designed for living
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Be your own label
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,For all the places you'll go
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clarks Shoes to live in
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Make it better
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Timberland Don't Wear It Use It
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cardinale Give value to you feet
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zivas The finest Footwear for the Active lifestyle
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riccardo Cartillone Highest Heels
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bostonian Look Again
82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finn Comfort The Finest Walking Shoes On Earth
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen Edmonds For All Walks of Life
84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arche Color dream shoes
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverly Feldman Too much is not enough
86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bobux The Baby shoes that Stay On
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Kaiser Jewelry for your legs
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Startrite Worn by the world's most precious feet
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elefanten Discover your world
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josef Seibel The European Comfort Shoe
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wolverine They don't quit
92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relentless by nature
93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Think Healthy shoes Naturally beautiful
