,Company,Slogan,Category,numWords,rating
0,Dr. Brown's,Taste of the Town,Beverage,2,5
1,Lunchables,Make fun of lunch,Food,3,8
2,Ore-Ida,Easy Open Easy Pour Bag,Food,5,10
3,Arby's,Slicing up freshness,Dining,1,3
4,Rolaids,that's how you spell relief,Health and Medicine,2,4
6,Druther's,I'd Ruther Go to Druther's Restaurant,Dining,2,3
7,Sonic Drive-In,Sonic Everywhere,Dining,1,5
8,Denny's,We're cooking now,Dining,1,3
9,Labatt Brewing Company,Good things brewing,Beverage,2,7
10,Dunkin' Donuts,Loosen up a little,Dining,2,5
11,Hawaiian Punch,How about a nice Hawaiian Punch,Beverage,2,3
12,Auntie Anne's,Pretzel Perfect,Food,2,10
13,Jif,juice in a jiffy,Beverage,2,5
14,Royal Tru,Bring out the crazy,Beverage,2,5
16,Tastykake,The Cake That Made Mother Stop Baking,Food,3,4
17,Coca-Cola,Taste The Feeling,Beverage,2,7
18,Kit Kat,"Have a Break, Have a Kit Kat",Food,3,4
19,A.1. Sauce,Makes beef sing,Food,2,7
20,Start,I Want Now I Can,Food,2,4
21,Vlasic Pickles,Always the perfect pickle,Food,2,5
22,Dreyer's,Share a Scoop. Share a Smile,Food,3,5
23,Apple Jacks,We eat what we like,Food,2,4
24,Dannon Yogurt,Love it for life,Food,2,5
25,Applebee's,Together is good,Dining,1,3
